image,keyIdx,entropy,rH,rV,rD,r_avg
monarch_512x512,8,7.9993472735465625,0.0010143200106300049,-0.002204150577403473,0.00043175137763125257,0.0012167406552215769
monarch_512x512,9,7.999312466724862,-0.00910243517497166,-0.005784702693291941,-0.004150448397197626,0.006345862088487076
monarch_512x512,10,7.999296166737461,0.004911286185109772,0.008877238072533385,0.006409325189436151,0.00673261648235977
pepper,1,7.99933522980706,-0.0025836066023854367,0.0038872074575567687,0.01008047277020189,0.0055170956100480326
pepper,2,7.999308329287287,-0.008707012578538675,0.0025499669052242977,-0.005527712953516044,0.0055948974790930054
pepper,3,7.999309379976481,0.00497168612751617,-0.0025978102142526186,-0.004017335041928447,0.003862277127899079
pepper,4,7.999279584990575,-0.008123622258272394,0.001393435654616848,0.007223173222923328,0.005580077045270857
pepper,5,7.999296767764552,0.0015511806440018287,0.003925458778524083,0.004708988735985835,0.003395209386170582
pepper,6,7.999288443203713,-0.00019261909305149757,8.062400487546482e-05,-0.0008115757554801959,0.00036160628446905275
pepper,7,7.999260322476887,-0.002976441206791539,0.007372916621853868,0.0004379769108725751,0.003595778246505994
pepper,8,7.999297137417575,-0.00833177860124835,-0.0006654230429138675,0.0036657702259059164,0.004220990623356044
pepper,9,7.999233732727824,0.0009923760935144953,0.02653593182755722,-0.0013395141560029033,0.009622607359024872
pepper,10,7.999267732971499,0.00596702446816122,-0.004171936217552038,-0.002405426202199863,0.004181462295971041
sailboat,1,7.999297206047561,-0.0080043724014551,-0.004942761254932368,-0.006054997819538309,0.0063340438253085924
sailboat,2,7.999310676570221,-0.01582404620111486,-0.008060816786893075,0.00788659066178776,0.010590484549931898
sailboat,3,7.9992557063895795,-0.0001860969306884877,-0.0013613565246143435,0.0003259096822592303,0.0006244543791873538
sailboat,4,7.9992992316658444,-0.00320190526172049,0.0047246280350369,0.006265186582067627,0.004730573292941673
sailboat,5,7.999296390520674,-0.0001711731750194155,-0.004855326318225745,-0.001934306476350221,0.002320268656531794
sailboat,6,7.999373718276028,0.00941140245080692,-0.00793314548308025,0.004038246409439697,0.007127598114442289
sailboat,7,7.9992785048116675,0.00716604292072862,-0.00421448981754343,-0.004947312905774908,0.005442615214682319
sailboat,8,7.999260690829142,-0.006932243938124622,0.005640830489627252,-0.003036821173985504,0.005203298533912459
sailboat,9,7.999317257783488,0.007975599697867089,0.0003151255360619395,0.008015683233687822,0.005435469489205616
sailboat,10,7.999310772330101,0.007449165245583258,-0.00528991615772674,-0.0038818391561656913,0.005540306853158564
tiffany,1,7.999307406967251,-0.0016320327300563889,-0.002370067882654543,-0.011735031805142626,0.005245710805951186
tiffany,2,7.999258426869866,0.00284277409917078,0.0044032501914298425,-0.0031275078006930738,0.003457844030431232
tiffany,3,7.999272461090283,0.011600830425082934,-0.0032401369744895652,-0.002709399793942585,0.005850122397838361
tiffany,4,7.999232224307803,-0.004226002561059505,-0.0030645301191831627,0.0008440984885412676,0.002711543722927978
tiffany,5,7.999300274750385,0.004788785041880415,-0.010881151075391164,0.00754172218729042,0.007737219434854
tiffany,6,7.999359758894421,0.011156625025979887,0.0008828285694975909,-0.0007083320283113904,0.004249261874596289
tiffany,7,7.999328680653491,-0.003765229121765178,0.0035972637584203646,-0.006346476932987652,0.004569656604391064
tiffany,8,7.999294306182961,-0.003417711714144381,0.004300987850938303,0.0044014423959974755,0.004040047320360053
tiffany,9,7.999293433396212,-0.006727411341811765,0.0023479363239513593,0.005264224023080144,0.004779857229614423
tiffany,10,7.999259184171902,-0.0050304535903028585,0.0054140835101381185,0.0035097733547611496,0.004651436818400709
