image,rd,keyIdx,encSec,entropy,rH,rV,rD,r_avg,npcr,uaci
Mountain_512,1,4,0.125460463,7.9992868009374805,-0.002780069901950464,-0.013229924067776294,-0.0009791657904055675,0.005663053253377442,90.07606506347656,30.237393348045597
Mountain_512,1,5,0.122974866,7.99927238272992,-0.0021504222227835884,-0.0010649924968749302,0.0010182269724462428,0.0014112138973682538,51.6516367594401,17.35908807492724
Mountain_512,1,6,0.125203563,7.999283529194284,-0.0002459629552217741,-0.01011245036854965,0.004059730975722196,0.004806048099831206,92.73618062337239,31.15733277563955
Mountain_512,1,7,0.13710634,7.999302668824247,0.011207420415365925,-0.008140266723320647,0.0025467531644065605,0.00729814676769771,12.621943155924479,4.257238051470588
Mountain_512,1,8,0.124168023,7.999310776260429,-0.011442949102019895,0.010079225541355577,-0.0068504506869730974,0.009457541776782857,32.285054524739586,10.85924385419858
Mountain_512,1,9,0.123124371,7.999233703937436,0.009598555733263342,0.005472110164941033,-0.004438469178023866,0.006503045025409414,33.30065409342448,11.174486447003934
Mountain_512,1,10,0.119883747,7.999240825391766,0.002024369208121299,-0.0001246181864851473,-0.00605963885905697,0.002736208751221139,16.059239705403645,5.408094817516851
Mountain_512,2,1,0.175841814,7.999291605171692,-0.00230845435483161,0.003699612049337303,-0.0014236722776875294,0.0024772462272854806,99.6019999186198,33.44816669139987
Mountain_512,2,2,0.175925494,7.999265972174814,0.0020230121968952386,0.0014241372477236216,-0.00959848502713982,0.00434854482391956,99.61090087890625,33.46574820724188
Mountain_512,2,3,0.174370654,7.999243836047447,-0.0022490855616859487,-0.0018227334914034247,0.00036873236711423103,0.0014801838067345346,99.59983825683594,33.489882026622496
Mountain_512,2,4,0.158844731,7.999345027812126,-0.005247214370024666,-0.0068896395974358815,-0.004288776852764456,0.0054752102734083345,99.6198018391927,33.41262368594898
Mountain_512,2,5,0.175092292,7.999281884944717,0.0048833807638504504,-0.0035391594047300182,0.008372267639060122,0.005598269269213529,99.61649576822917,33.48289888668683
