x,y,posMix,collisionProbabilityPct
203,83,75,0.8880615234375
253,83,87,0.8880615234375
303,83,195,0.8880615234375
353,83,183,0.8880615234375
403,83,171,0.8880615234375
453,83,7,0.8880615234375
503,83,51,0.8880615234375
41,84,0,0.6988525390625
91,84,210,0.7049560546875
141,84,228,0.6988525390625
191,84,6,0.7049560546875
241,84,232,0.6988525390625
291,84,186,0.7049560546875
341,84,220,0.6988525390625
391,84,126,0.7049560546875
441,84,80,0.6988525390625
491,84,162,0.7049560546875
29,85,23,0.8880615234375
79,85,239,0.8880615234375
129,85,111,0.8880615234375
179,85,167,0.8880615234375
229,85,23,0.8880615234375
279,85,95,0.8880615234375
329,85,95,0.8880615234375
379,85,7,0.8880615234375
429,85,119,0.8880615234375
479,85,175,0.8880615234375
17,86,64,0.6988525390625
67,86,106,0.7049560546875
117,86,140,0.6988525390625
167,86,222,0.7049560546875
217,86,168,0.6988525390625
267,86,18,0.7049560546875
317,86,116,0.6988525390625
367,86,38,0.7049560546875
417,86,144,0.6988525390625
467,86,90,0.7049560546875
5,87,159,0.8880615234375
55,87,251,0.8880615234375
105,87,111,0.8880615234375
155,87,131,0.8880615234375
205,87,159,0.8880615234375
255,87,219,0.8880615234375
305,87,111,0.8880615234375
355,87,115,0.8880615234375
405,87,223,0.8880615234375
455,87,59,0.8880615234375
505,87,207,0.8880615234375
43,88,82,0.7049560546875
93,88,68,0.6988525390625
143,88,126,0.7049560546875
193,88,208,0.6988525390625
243,88,202,0.7049560546875
293,88,188,0.6988525390625
343,88,38,0.7049560546875
393,88,56,0.6988525390625
443,88,162,0.7049560546875
493,88,84,0.6988525390625
31,89,127,0.8880615234375
81,89,167,0.8880615234375
131,89,71,0.8880615234375
181,89,191,0.8880615234375
231,89,15,0.8880615234375
281,89,7,0.8880615234375
331,89,135,0.8880615234375
381,89,143,0.8880615234375
431,89,31,0.8880615234375
481,89,103,0.8880615234375
19,90,122,0.7049560546875
69,90,156,0.6988525390625
119,90,166,0.7049560546875
169,90,112,0.6988525390625
219,90,194,0.7049560546875
269,90,100,0.6988525390625
319,90,14,0.7049560546875
369,90,120,0.6988525390625
419,90,170,0.7049560546875
469,90,172,0.6988525390625
7,91,99,0.8880615234375
57,91,71,0.8880615234375
107,91,235,0.8880615234375
157,91,247,0.8880615234375
207,91,83,0.8880615234375
257,91,55,0.8880615234375
307,91,107,0.8880615234375
357,91,39,0.8880615234375
407,91,131,0.8880615234375
457,91,167,0.8880615234375
507,91,75,0.8880615234375
45,92,244,0.6988525390625
95,92,6,0.7049560546875
145,92,104,0.6988525390625
195,92,202,0.7049560546875
245,92,252,0.6988525390625
295,92,142,0.7049560546875
345,92,64,0.6988525390625
395,92,130,0.7049560546875
